Node_ID,Centroide,UF
16492,Salvador do Sul,RS
16493,Barão,RS
16494,Tupandi,RS
16495,Tavares,RS
16496,Mostardas,RS
16497,Barra do Ribeiro,RS
16499,Porto Alegre,RS
16500,Canoas,RS
16501,Viamão,RS
16502,Alvorada,RS
16503,Cachoeirinha,RS
16504,Gravataí,RS
16505,Nova Santa Rita,RS
16506,Capela de Santana,RS
16507,Esteio,RS
16508,Sapucaia do Sul,RS
16509,São Leopoldo,RS
16510,Portão,RS
16511,Estância Velha,RS
16512,Novo Hamburgo,RS
16513,São Sebastião do Caí,RS
16514,Bom Princípio,RS
16515,São Vendelino,RS
16516,Feliz,RS
16517,Alto Feliz,RS
16518,Vale Real,RS
16519,Lindolfo Collor,RS
16520,São José do Hortêncio,RS
16521,Ivoti,RS
16522,Presidente Lucena,RS
16523,Linha Nova,RS
16524,Picada Café,RS
16525,Campo Bom,RS
16526,Sapiranga,RS
16527,Dois Irmãos,RS
16528,Morro Reuter,RS
16529,Nova Petrópolis,RS
16530,Santa Maria do Herval,RS
16531,Araricá,RS
16532,Nova Hartz,RS
16533,Gramado,RS
16534,Palmares do Sul,RS
16535,Capivari do Sul,RS
16536,Glorinha,RS
16537,Parobé,RS
16538,Taquara,RS
16539,Igrejinha,RS
16540,Três Coroas,RS
16541,Santo Antônio da Patrulha,RS
16542,Rolante,RS
16543,Caraá,RS
16544,Riozinho,RS
16545,São Francisco de Paula,RS
16546,Jari,RS
16547,Quevedos,RS
16548,Vitória das Missões,RS
16549,Entre-Ijuís,RS
16550,Jóia,RS
16551,Eugênio de Castro,RS
16552,Coronel Barros,RS
16553,Tupanciretã,RS
16554,Júlio de Castilhos,RS
16555,Boa Vista do Cadeado,RS
16556,Augusto Pestana,RS
16557,Ijuí,RS
16558,Bozano,RS
16559,Cruz Alta,RS
16560,Pejuçara,RS
16561,Sete de Setembro,RS
16562,Santo Ângelo,RS
16563,Santa Rosa,RS
16564,Giruá,RS
16565,Catuípe,RS
16566,Independência,RS
16567,Inhacorá,RS
16568,Alegria,RS
16569,Tuparendi,RS
16570,Tucunduva,RS
16571,Novo Machado,RS
16572,Horizontina,RS
16573,Doutor Maurício Cardoso,RS
16574,Três de Maio,RS
16575,São José do Inhacorá,RS
16576,Boa Vista do Buricá,RS
16577,Nova Candelária,RS
16578,Crissiumal,RS
16579,Tiradentes do Sul,RS
16580,Ajuricaba,RS
16581,Chiapetta,RS
16582,São Valério do Sul,RS
16583,Santo Augusto,RS
16584,Nova Ramada,RS
16585,Panambi,RS
16586,Condor,RS
16587,São Martinho,RS
16588,Sede Nova,RS
16589,Humaitá,RS
16590,Bom Progresso,RS
16591,Campo Novo,RS
16592,Braga,RS
16593,Três Passos,RS
16594,Esperança do Sul,RS
16595,Derrubadas,RS
16596,Tenente Portela,RS
16597,Coronel Bicaco,RS
16598,Redentora,RS
16599,Dois Irmãos das Missões,RS
16600,Erval Seco,RS
16601,Miraguaí,RS
16602,Vista Gaúcha,RS
16603,Palmitinho,RS
16604,Vista Alegre,RS
16605,Pinhal Grande,RS
16606,Boa Vista do Incra,RS
16607,Arroio do Tigre,RS
16608,Estrela Velha,RS
16609,Segredo,RS
16610,Tunas,RS
16611,Salto do Jacuí,RS
16612,Jacuizinho,RS
16613,Campos Borges,RS
16614,Fortaleza dos Valos,RS
16615,Santa Bárbara do Sul,RS
16616,Quinze de Novembro,RS
16617,Ibirubá,RS
16618,Alto Alegre,RS
16619,Saldanha Marinho,RS
16620,Colorado,RS
16621,Lagoão,RS
16622,Gramado Xavier,RS
16623,Barros Cassal,RS
16624,Espumoso,RS
16625,Selbach,RS
16626,Tapera,RS
16627,Mormaço,RS
16628,Lagoa dos Três Cantos,RS
16629,Não-Me-Toque,RS
16630,Victor Graeff,RS
16631,Santo Antônio do Planalto,RS
16632,Tio Hugo,RS
16633,Soledade,RS
16634,Ibirapuitã,RS
16635,Ernestina,RS
16636,Nicolau Vergueiro,RS
16637,Palmeira das Missões,RS
16638,Chapada,RS
16639,Novo Barreiro,RS
16640,Barra Funda,RS
16641,Nova Boa Vista,RS
16642,Boa Vista das Missões,RS
16643,São Pedro das Missões,RS
16644,Jaboticaba,RS
16645,Taquaruçu do Sul,RS
16646,Seberi,RS
16647,Caiçara,RS
16648,Frederico Westphalen,RS
16649,Cristal do Sul,RS
16650,Lajeado do Bugre,RS
16651,São José das Missões,RS
16652,Sagrada Família,RS
16653,Cerro Grande,RS
16654,Novo Tiradentes,RS
16655,Novo Xingu,RS
16656,Constantina,RS
16657,Liberato Salzano,RS
16658,Pinhal,RS
16659,Rodeio Bonito,RS
16660,Ametista do Sul,RS
16661,Planalto,RS
16662,Almirante Tamandaré do Sul,RS
16663,Carazinho,RS
16664,Coqueiros do Sul,RS
16665,Sarandi,RS
16666,Rondinha,RS
16667,Pontão,RS
16668,Quatro Irmãos,RS
16669,Engenho Velho,RS
16670,Três Palmeiras,RS
16671,Ronda Alta,RS
16672,Entre Rios do Sul,RS
16673,Trindade do Sul,RS
16674,Gramado dos Loureiros,RS
16675,Rio dos Índios,RS
16676,Nonoai,RS
16677,Campinas do Sul,RS
16678,Cruzaltense,RS
16679,Jacutinga,RS
16680,Ponte Preta,RS
16681,São Valentim,RS
16682,Faxinalzinho,RS
16683,Benjamin Constant do Sul,RS
16684,Erval Grande,RS
16685,Itatiba do Sul,RS
16686,Barra do Guarita,RS
16687,Itapiranga,SC
16688,Pinheirinho do Vale,RS
16689,São João do Oeste,SC
16690,Tunápolis,SC
16691,Santa Helena,SC
16692,Bandeirante,SC
16693,Iporã do Oeste,SC
16694,Belmonte,SC
16695,Descanso,SC
16696,Paraíso,SC
16697,São Miguel do Oeste,SC
16698,Guaraciaba,SC
16699,Dionísio Cerqueira,SC
16700,Barracão,PR
16701,Princesa,SC
16702,São José do Cedro,SC
16703,Guarujá do Sul,SC
16704,Santa Terezinha de Itaipu,PR
16705,São Miguel do Iguaçu,PR
16706,Medianeira,PR
16707,Serranópolis do Iguaçu,PR
16708,Pranchita,PR
16709,Pérola d'Oeste,PR
16710,Planalto,PR
16711,Santo Antônio do Sudoeste,PR
16712,Bom Jesus do Sul,PR
16713,Pinhal de São Bento,PR
16714,Bela Vista da Caroba,PR
16715,Santa Izabel do Oeste,PR
16716,Realeza,PR
16717,Capanema,PR
16718,Matelândia,PR
16719,Capitão Leônidas Marques,PR
16720,Santa Lúcia,PR
16721,Lindoeste,PR
16722,Vicente Dutra,RS
16723,Mondaí,SC
16724,Iraí,RS
16725,Riqueza,SC
16726,Caibi,SC
16727,Flor do Sertão,SC
16728,Iraceminha,SC
16729,Palmitos,SC
16730,Alpestre,RS
16731,São Carlos,SC
16732,Águas de Chapecó,SC
16733,Cunha Porã,SC
16734,Cunhataí,SC
16735,Maravilha,SC
16736,Saudades,SC
16737,Modelo,SC
16738,Pinhalzinho,SC
16739,Barra Bonita,SC
16740,Romelândia,SC
16741,São Miguel da Boa Vista,SC
16742,Anchieta,SC
16743,Palma Sola,SC
16744,Flor da Serra do Sul,PR
16745,Tigrinhos,SC
16746,Santa Terezinha do Progresso,SC
16747,Bom Jesus do Oeste,SC
16748,Serra Alta,SC
16749,Sul Brasil,SC
16750,Saltinho,SC
16751,Campo Erê,SC
16752,São Bernardino,SC
16753,Caxambu do Sul,SC
16754,Planalto Alegre,SC
16755,Guatambú,SC
16756,Nova Erechim,SC
